#城市名称,区县,分局,热点名称,厂家,型号,AP编号,设备名称,IP地址
,,,,,,aoti-xwzx-ap35,,10.104.23.127
,,,,,,aoti-xwzx-ap36,,10.104.23.128
,,,,,,aoti-xwzx-ap37,,10.104.23.129
,,,,,,aoti-xwzx-ap38,,10.104.23.126
,,,,,,aoti-xwzx-ap39,,10.104.23.125
,,,,,,aoti-xwzx-ap40,,10.104.23.124
,,,,,,aoti-xwzx-ap41,,10.104.23.123
,,,,,,aoti-xwzx-ap42,,10.104.23.122
,,,,,,aoti-xwzx-ap43,,10.104.23.199
,,,,,,aoti-xwzx-ap44,,10.104.23.198
,,,,,,aoti-xwzx-ap45,,10.104.23.165
,,,,,,aoti-xwzx-ap46,,10.104.23.166
,,,,,,aoti-xwzx-ap47,,10.104.23.167
,,,,,,aoti-xwzx-ap48,,10.104.23.168
,,,,,,aoti-xwzx-ap49,,10.104.23.169
,,,,,,aoti-xwzx-ap50,,10.104.23.170
,,,,,,aoti-xwzx-ap51,,10.104.23.171
,,,,,,aoti-xwzx-ap52,,10.104.23.172
,,,,,,aoti-xwzx-ap53,,10.104.23.213
,,,,,,aoti-xwzx-ap54,,10.104.23.211
,,,,,,aoti-xwzx-ap55,,10.104.23.212
,,,,,,aoti-xwzx-ap56,,10.104.23.210
,,,,,,aoti-xwzx-ap57,,10.104.23.209
,,,,,,aoti-xwzx-ap58,,10.104.23.208
,,,,,,aoti-xwzx-ap59,,10.104.23.205
,,,,,,aoti-xwzx-ap60,,10.104.23.206
,,,,,,aoti-xwzx-ap61,,10.104.23.207
,,,,,,aoti-xwzx-ap62,,10.104.23.203
,,,,,,aoti-xwzx-ap63,,10.104.23.204
,,,,,,aoti-xwzx-ap64,,10.104.23.215
,,,,,,aoti-xwzx-ap65,,10.104.23.131
,,,,,,aoti-xwzx-ap66,,10.104.23.133
,,,,,,aoti-xwzx-ap67,,10.104.23.132
,,,,,,aoti-xwzx-ap68,,10.104.23.196
,,,,,,aoti-xwzx-ap69,,10.104.23.197
,,,,,,aoti-xwzx-ap70,,10.104.23.130
,,,,,,aoti-xwzx-ap71,,10.104.23.192
,,,,,,aoti-xwzx-ap72,,10.104.23.189
,,,,,,aoti-xwzx-ap73,,10.104.23.191
,,,,,,aoti-xwzx-ap74,,10.104.23.193
,,,,,,aoti-xwzx-ap75,,10.104.23.143
,,,,,,aoti-xwzx-ap76,,10.104.23.180
,,,,,,aoti-xwzx-ap77,,10.104.23.65
,,,,,,aoti-xwzx-ap78,,10.104.23.63
,,,,,,aoti-xwzx-ap79,,10.104.23.68
,,,,,,aoti-xwzx-ap80,,10.104.23.64
,,,,,,aoti-xwzx-ap81,,10.104.23.70
,,,,,,aoti-xwzx-ap82,,10.104.23.67
,,,,,,aoti-xwzx-ap83,,10.104.23.69
,,,,,,aoti-xwzx-ap84,,10.104.23.66
,,,,,,aoti-xwzx-ap85,,10.104.23.139
,,,,,,aoti-xwzx-ap86,,10.104.23.140
,,,,,,aoti-xwzx-ap87,,10.104.23.141
,,,,,,aoti-xwzx-ap88,,10.104.23.142
,,,,,,aoti-xwzx-ap89,,10.104.23.144
,,,,,,aoti-xwzx-ap90,,10.104.23.145
,,,,,,aoti-xwzx-ap91,,10.104.23.146
,,,,,,aoti-xwzx-ap92,,10.104.23.148
,,,,,,aoti-xwzx-ap93,,10.104.23.98
,,,,,,aoti-xwzx-ap94,,10.104.23.99
,,,,,,aoti-xwzx-ap95,,10.104.23.100
,,,,,,aoti-xwzx-ap96,,10.104.23.101
,,,,,,aoti-xwzx-ap97,,10.104.23.96
,,,,,,aoti-xwzx-ap98,,10.104.23.97
,,,,,,aoti-xwzx-ap99,,10.104.23.218
,,,,,,aoti-xwzx-ap100,,10.104.23.105
,,,,,,aoti-xwzx-ap101,,10.104.23.104
,,,,,,aoti-xwzx-ap102,,10.104.23.103
,,,,,,aoti-xwzx-ap103,,10.104.23.102
,,,,,,aoti-xwzx-ap104,,10.104.23.106
,,,,,,aoti-xwzx-ap105,,10.104.23.107
,,,,,,aoti-xwzx-ap106,,10.104.23.108
,,,,,,aoti-xwzx-ap107,,10.104.23.109
,,,,,,aoti-xwzx-ap108,,10.104.23.113
,,,,,,aoti-xwzx-ap109,,10.104.23.112
,,,,,,aoti-xwzx-ap110,,10.104.23.111
,,,,,,aoti-xwzx-ap111,,10.104.23.110
,,,,,,aoti-xwzx-ap112,,10.104.23.79
,,,,,,aoti-xwzx-ap113,,10.104.23.78
,,,,,,aoti-xwzx-ap114,,10.104.23.83
,,,,,,aoti-xwzx-ap115,,10.104.23.77
,,,,,,aoti-xwzx-ap116,,10.104.23.80
,,,,,,aoti-xwzx-ap117,,10.104.23.81
,,,,,,aoti-xwzx-ap118,,10.104.23.82
,,,,,,aoti-xwzx-ap119,,10.104.23.84
,,,,,,aoti-xwzx-ap120,,10.104.23.85
,,,,,,aoti-xwzx-ap121,,10.104.23.86
,,,,,,aoti-xwzx-ap122,,10.104.23.87
,,,,,,aoti-xwzx-ap123,,10.104.23.88
,,,,,,aoti-xwzx-ap124,,10.104.23.92
,,,,,,aoti-xwzx-ap125,,10.104.23.91
,,,,,,aoti-xwzx-ap126,,10.104.23.90
,,,,,,aoti-xwzx-ap127,,10.104.23.89
,,,,,,aoti-xwzx-ap128,,10.104.23.94
,,,,,,aoti-xwzx-ap129,,10.104.23.93
,,,,,,aoti-xwzx-ap130,,10.104.23.163
,,,,,,aoti-xwzx-ap131,,10.104.23.95
,,,,,,aoti-xwzx-ap132,,10.104.23.194
,,,,,,aoti-xwzx-ap133,,10.104.23.164
,,,,,,aoti-xwzx-ap134,,10.104.23.160
,,,,,,aoti-xwzx-ap135,,10.104.23.161
,,,,,,aoti-xwzx-ap136,,10.104.23.159
,,,,,,aoti-xwzx-ap137,,10.104.23.158
,,,,,,aoti-xwzx-ap138,,10.104.23.156
,,,,,,aoti-xwzx-ap139,,10.104.23.157
,,,,,,aoti-xwzx-ap140,,10.104.23.149
,,,,,,aoti-xwzx-ap141,,10.104.23.150
,,,,,,aoti-xwzx-ap142,,10.104.23.152
,,,,,,aoti-xwzx-ap143,,10.104.23.151
,,,,,,aoti-xwzx-ap144,,10.104.23.153
,,,,,,aoti-xwzx-ap145,,10.104.23.154
,,,,,,aoti-xwzx-ap146,,10.104.23.217
,,,,,,aoti-xwzx-ap147,,10.104.23.216
,,,,,,aoti-xwzx-ap148,,10.104.23.135
,,,,,,aoti-xwzx-ap149,,10.104.23.138
,,,,,,aoti-xwzx-ap150,,10.104.23.137
,,,,,,aoti-xwzx-ap151,,10.104.23.136
,,,,,,aoti-xwzx-ap153,,10.104.23.201
,,,,,,aoti-xwzx-ap154,,10.104.23.202
